INFO:MWG2C:***** G2C Logger started ***********************************
INFO:MWG2C:** 0.1
INFO:MWG2C:** Logging started @ : 2016-03-04 13:51:05.628000
INFO:MWG2C:** Log-File : D:\Development\GitRep\gcode2cutsim/MWG2C.log
INFO:MWG2C:************************************************************
ERROR:MWG2C:CLFileWriter: File could not be open for writing ...  Try again...
INFO:MWG2C:Starting G2C conversion ... @ : 2016-03-04 13:51:05.629000
ERROR:MWG2C:CLFileWriter.writeNCCode: Error while writing NC-code
ERROR:MWG2C:CLFileWriter.writeNCCode: Error while writing NC-code
ERROR:MWG2C:CLFileWriter.writeNCCode: Error while writing NC-code
ERROR:MWG2C:CLFileWriter.writeNCCode: Error while writing NC-code
ERROR:MWG2C:CLFileWriter.writeNCCode: Error while writing NC-code
ERROR:MWG2C:CLFileWriter.writeNCCode: Error while writing NC-code
ERROR:MWG2C:CLFileWriter.writeNCCode: Error while writing NC-code
ERROR:MWG2C:CLFileWriter.writeNCCode: Error while writing NC-code
ERROR:MWG2C:CLFileWriter.writeNCCode: Error while writing NC-code
ERROR:MWG2C:CLFileWriter.writeNCCode: Error while writing NC-code
ERROR:MWG2C:CLFileWriter.writeNCCode: Error while writing NC-code
ERROR:MWG2C:CLFileWriter.writeNCCode: Error while writing NC-code
ERROR:MWG2C:CLFileWriter.writeNCCode: Error while writing NC-code
ERROR:MWG2C:CLFileWriter.writeNCCode: Error while writing NC-code
ERROR:MWG2C:CLFileWriter.writeNCCode: Error while writing NC-code
ERROR:MWG2C:CLFileWriter.writeNCCode: Error while writing NC-code
ERROR:MWG2C:CLFileWriter.writeNCCode: Error while writing NC-code
ERROR:MWG2C:CLFileWriter.writeNCCode: Error while writing NC-code
ERROR:MWG2C:CLFileWriter.writeNCCode: Error while writing NC-code
ERROR:MWG2C:CLFileWriter.writeNCCode: Error while writing NC-code
ERROR:MWG2C:CLFileWriter.writeNCCode: Error while writing NC-code
ERROR:MWG2C:CLFileWriter.writeNCCode: Error while writing NC-code
ERROR:MWG2C:CLFileWriter.writeNCCode: Error while writing NC-code
ERROR:MWG2C:CLFileWriter.writeNCCode: Error while writing NC-code
ERROR:MWG2C:CLFileWriter.writeNCCode: Error while writing NC-code
ERROR:MWG2C:CLFileWriter.writeNCCode: Error while writing NC-code
ERROR:MWG2C:CLFileWriter.writeNCCode: Error while writing NC-code
